[23-Mar-2026 23:31:58 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[24-Mar-2026 00:01:44 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:01:44 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[24-Mar-2026 00:01:55 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:05 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:15 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:25 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:29 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:36 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:39 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
[24-Mar-2026 00:02:46 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/UX-221-Assignment-44/.wordpress/wp-content/themes/kadence/inc/components/styles/component.php on line 3412
